id при поиске;Публикация;Цитируется;Ф.;И.;О.;;;год. расч.;год уточн.;Год;по теме;актуально;Организация
39;ИНТЕРВАЛЬНАЯ ДИНАМИЧЕСКАЯ ЛОГИКА Вергер А.Е., Выхованец В.С. В сборнике: Технические и программные средства систем управления, контроля и измерения (УКИ`12) Труды третьей российской конференции с международным участием. 2012. С. 409-415.;0;Выхованец;В;С;Выхованец В. С.;ИНТЕРВАЛЬНАЯ ДИНАМИЧЕСКАЯ ЛОГИКА Вергер А.Е., Выхованец В.С. В сборнике: Технические и программные средства систем управления, контроля и измерения (УКИ`12) Труды третьей российской конференции с международным участием. 2012. С. 409-415. ;2012    ;;2012    ;0;;Институт проблем управления МГТУ им. Баумана
40;АНАЛИТИЧЕСКИЙ СИНТЕЗ КОМБИНАЦИОННЫХ СХЕМ Выхованец В.С., Федоров С.В. В сборнике: Технические и программные средства систем управления, контроля и измерения (УКИ`12) Труды третьей российской конференции с международным участием. 2012. С. 461-465.;0;Выхованец;В;С;Выхованец В. С.;АНАЛИТИЧЕСКИЙ СИНТЕЗ КОМБИНАЦИОННЫХ СХЕМ Выхованец В.С., Федоров С.В. В сборнике: Технические и программные средства систем управления, контроля и измерения (УКИ`12) Труды третьей российской конференции с международным участием. 2012. С. 461-465. ;2012    ;;2012    ;0;;Институт проблем управления МГТУ им. Баумана
41;СЕРТИФИКАЦИЯ СИСТЕМ ЛОГИЧЕСКОГО УПРАВЛЕНИЯ НА ОСНОВЕ КОЛИЧЕСТВА ВЫПОЛНЯЕМЫХ ОПЕРАЦИЙ И ОБЪЕМА ОБРАБАТЫВАЕМЫХ ДАННЫХ Выхованец В.С. В сборнике: Технические и программные средства систем управления, контроля и измерения УКИ' 08 Труды Российской конференции с международным участием. 2008. С. 9-17.;0;Выхованец;В;С;Выхованец В. С.;СЕРТИФИКАЦИЯ СИСТЕМ ЛОГИЧЕСКОГО УПРАВЛЕНИЯ НА ОСНОВЕ КОЛИЧЕСТВА ВЫПОЛНЯЕМЫХ ОПЕРАЦИЙ И ОБЪЕМА ОБРАБАТЫВАЕМЫХ ДАННЫХ Выхованец В.С. В сборнике: Технические и программные средства систем управления, контроля и измерения УКИ' 08 Труды Российской конференции с международным участием. 2008. С. 9-17. ;2008    ;;2008    ;0;;Институт проблем управления МГТУ им. Баумана
42;ПРИМЕНЕНИЕ ЛОГИЧЕСКОЙ ТЕОРИИ ПОНЯТИЙ ПРИ РАЗРАБОТКЕ СИСТЕМ ЛОГИЧЕСКОГО УПРАВЛЕНИЯ Выхованец В.С. В сборнике: Технические и программные средства систем управления, контроля и измерения УКИ' 08 Труды Российской конференции с международным участием. 2008. С. 2-9.;0;Выхованец;В;С;Выхованец В. С.;ПРИМЕНЕНИЕ ЛОГИЧЕСКОЙ ТЕОРИИ ПОНЯТИЙ ПРИ РАЗРАБОТКЕ СИСТЕМ ЛОГИЧЕСКОГО УПРАВЛЕНИЯ Выхованец В.С. В сборнике: Технические и программные средства систем управления, контроля и измерения УКИ' 08 Труды Российской конференции с международным участием. 2008. С. 2-9. ;2008    ;;2008    ;0;;Институт проблем управления МГТУ им. Баумана
43;МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ СИСТЕМ НА ОСНОВЕ ЯЗЫКОВОЙ ФОРМАЛИЗАЦИИ РЕЗУЛЬТАТОВ ПОНЯТИЙНОГО АНАЛИЗА Выхованец В.С. В сборнике: Математическая теория систем 2009. С. 107-111.;5;Выхованец;В;С;Выхованец В. С.;МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ СИСТЕМ НА ОСНОВЕ ЯЗЫКОВОЙ ФОРМАЛИЗАЦИИ РЕЗУЛЬТАТОВ ПОНЯТИЙНОГО АНАЛИЗА Выхованец В.С. В сборнике: Математическая теория систем 2009. С. 107-111. ;2009    ;;2009    ;2;;Институт проблем управления МГТУ им. Баумана
44;АНАЛИТИЧЕСКИЙ СИНТЕЗ ФОРМУЛ Выхованец В.С. В сборнике: Четвертая Международная конференция по проблемам управления Сборник трудов. 2009. С. 1465-1473.;0;Выхованец;В;С;Выхованец В. С.;АНАЛИТИЧЕСКИЙ СИНТЕЗ ФОРМУЛ Выхованец В.С. В сборнике: Четвертая Международная конференция по проблемам управления Сборник трудов. 2009. С. 1465-1473. ;2009    ;;2009    ;0;;Институт проблем управления МГТУ им. Баумана
45;"МЕТОДИКА ОПРЕДЕЛЕНИЯ ЭФФЕКТИВНОСТИ ПАРАЛЛЕЛЬНЫХ ВЫЧИСЛЕНИЙ Выхованец В.С. В сборнике: Труды Пятой Международной конференции ""Параллельные вычисления и задачи управления"" PACO'2010 2010. С. 1057-1064.";0;Выхованец;В;С;Выхованец В. С.;"МЕТОДИКА ОПРЕДЕЛЕНИЯ ЭФФЕКТИВНОСТИ ПАРАЛЛЕЛЬНЫХ ВЫЧИСЛЕНИЙ Выхованец В.С. В сборнике: Труды Пятой Международной конференции ""Параллельные вычисления и задачи управления"" PACO'2010 2010. С. 1057-1064. ";2010    ;;2010    ;0;;Институт проблем управления МГТУ им. Баумана
46;ОБРАЗОВАНИЕ И ОПРЕДЕЛЕНИЕ ПОНЯТИЙ В ИНФОРМАТИКЕ Выхованец В.С. В сборнике: Современная логика: проблемы теории и истории материалы XI Международной конференции. Санкт-Петербургский государственный университет. 2010. С. 256-258.;0;Выхованец;В;С;Выхованец В. С.;ОБРАЗОВАНИЕ И ОПРЕДЕЛЕНИЕ ПОНЯТИЙ В ИНФОРМАТИКЕ Выхованец В.С. В сборнике: Современная логика: проблемы теории и истории материалы XI Международной конференции. Санкт-Петербургский государственный университет. 2010. С. 256-258. ;2010    ;;2010    ;0;;Институт проблем управления МГТУ им. Баумана
47;О СУЩЕСТВЕННОЙ НЕПОЛНОТЕ ФОРМАЛЬНЫХ ТЕОРИЙ Выхованец В.С. В книге: Математическое моделирование в образовании, науке и производстве Тезисы VI Международной конференции. 2009. С. 10-11.;2;Выхованец;В;С;Выхованец В. С.;О СУЩЕСТВЕННОЙ НЕПОЛНОТЕ ФОРМАЛЬНЫХ ТЕОРИЙ Выхованец В.С. В книге: Математическое моделирование в образовании, науке и производстве Тезисы VI Международной конференции. 2009. С. 10-11. ;2009    ;;2009    ;0;;Институт проблем управления МГТУ им. Баумана
48;КОНТЕКСТНАЯ ТЕХНОЛОГИЯ ПРОГРАММИРОВАНИЯ Выхованец В.С. В сборнике: Параллельные вычисления и задачи управления PACO'2008 2008. С. 1288-1327.;5;Выхованец;В;С;Выхованец В. С.;КОНТЕКСТНАЯ ТЕХНОЛОГИЯ ПРОГРАММИРОВАНИЯ Выхованец В.С. В сборнике: Параллельные вычисления и задачи управления PACO'2008 2008. С. 1288-1327. ;2008    ;;2008    ;0;;Институт проблем управления МГТУ им. Баумана
49;ФУНКЦИОНАЛЬНАЯ АДАПТАЦИЯ СИСТЕМ АВТОМАТИЗИРОВАННОГО ПРОЕКТИРОВАНИЯ Выхованец В.С., Яцутко А.В. В сборнике: Системы проектирования, технологической подготовки производства и управления этапами жизненного цикла промышленного продукта (CAD/CAM/PDM - 2008) труды международной конференции. Институт проблем управления им. В.А. Трапезникова РАН. Москва, 2008. С. 35.;0;Выхованец;В;С;Выхованец В. С.;ФУНКЦИОНАЛЬНАЯ АДАПТАЦИЯ СИСТЕМ АВТОМАТИЗИРОВАННОГО ПРОЕКТИРОВАНИЯ Выхованец В.С., Яцутко А.В. В сборнике: Системы проектирования, технологической подготовки производства и управления этапами жизненного цикла промышленного продукта (CAD/CAM/PDM - 2008) труды международной конференции. Институт проблем управления им. В.А. Трапезникова РАН. Москва, 2008. С. 35. ;2008    ;;2008    ;0;;Институт проблем управления МГТУ им. Баумана
50;ВЕРИФИКАЦИЯ РЕЗУЛЬТАТОВ ПОНЯТИЙНОГО АНАЛИЗА Выхованец В.С. В книге: Третья международная конференция по проблемам управления Тезисы докладов в двух томах. 2006. С. 105.;0;Выхованец;В;С;Выхованец В. С.;ВЕРИФИКАЦИЯ РЕЗУЛЬТАТОВ ПОНЯТИЙНОГО АНАЛИЗА Выхованец В.С. В книге: Третья международная конференция по проблемам управления Тезисы докладов в двух томах. 2006. С. 105. ;2006    ;;2006    ;0;;Институт проблем управления МГТУ им. Баумана
51;ИСЧИСЛЕНИЕ ПОНЯТИЙ Выхованец В.С. В сборнике: Когнитивный анализ и управление развитием ситуаций (CASC 2007) Труды VII Международной конференции. Москва, 2007. С. 31-35.;9;Выхованец;В;С;Выхованец В. С.;ИСЧИСЛЕНИЕ ПОНЯТИЙ Выхованец В.С. В сборнике: Когнитивный анализ и управление развитием ситуаций (CASC 2007) Труды VII Международной конференции. Москва, 2007. С. 31-35. ;2007    ;;2007    ;0;;Институт проблем управления МГТУ им. Баумана
52;РЕПРЕЗЕНТАЦИЯ ЗНАНИЙ В СИСТЕМАХ УПРАВЛЕНИЯ КРУПНОМАСШТАБНЫМИ ПРОИЗВОДСТВАМИ Выхованец В.С. В книге: Управление развитием крупномасштабных систем MLSD2007 Тезисы докладов первой Международной конференции. Москва, 2007. С. 124-125.;0;Выхованец;В;С;Выхованец В. С.;РЕПРЕЗЕНТАЦИЯ ЗНАНИЙ В СИСТЕМАХ УПРАВЛЕНИЯ КРУПНОМАСШТАБНЫМИ ПРОИЗВОДСТВАМИ Выхованец В.С. В книге: Управление развитием крупномасштабных систем MLSD2007 Тезисы докладов первой Международной конференции. Москва, 2007. С. 124-125. ;2007    ;;2007    ;0;;Институт проблем управления МГТУ им. Баумана
53;ЯЗЫК КОНТЕКСТНОГО ПРОГРАММИРОВАНИЯ Выхованец В.С. В книге: Проблемы управления безопасностью сложных систем материалы VIII международной конференции. под ред. В.В. Кульбы. 2000. С. 89-91.;1;Выхованец;В;С;Выхованец В. С.;ЯЗЫК КОНТЕКСТНОГО ПРОГРАММИРОВАНИЯ Выхованец В.С. В книге: Проблемы управления безопасностью сложных систем материалы VIII международной конференции. под ред. В.В. Кульбы. 2000. С. 89-91. ;2000    ;;2000    ;0;;Институт проблем управления МГТУ им. Баумана
54;ОПИСАНИЕ СЕМАНТИКИ КОНТЕКСТНО-СВОБОДНЫХ ЯЗЫКОВ МЕТОДОМ МАТЕМАТИЧЕСКОЙ ИНДУКЦИИ Выхованец В.С. Научно-техническая информация. Серия 2: Информационные процессы и системы. 2008. № 7. С. 6-14.;12;Выхованец;В;С;Выхованец В. С.;ОПИСАНИЕ СЕМАНТИКИ КОНТЕКСТНО-СВОБОДНЫХ ЯЗЫКОВ МЕТОДОМ МАТЕМАТИЧЕСКОЙ ИНДУКЦИИ Выхованец В.С. Научно-техническая информация. Серия 2: Информационные процессы и системы. 2008. № 7. С. 6-14. ;2008    ;;2008    ;0;;Институт проблем управления МГТУ им. Баумана
55;КРАТНЫЕ ВЫЧИСЛЕНИЯ В СОВРЕМЕННЫХ ВЫСОКОПРОИЗВОДИТЕЛЬНЫХ СИСТЕМАХ ОБРАБОТКИ ДАННЫХ Выхованец В.С. Вестник Приднестровского университета. Серия: Физико-математические и технические науки. Экономика и управление. 2000. № 1-2 (12). С. 99-110.;0;Выхованец;В;С;Выхованец В. С.;КРАТНЫЕ ВЫЧИСЛЕНИЯ В СОВРЕМЕННЫХ ВЫСОКОПРОИЗВОДИТЕЛЬНЫХ СИСТЕМАХ ОБРАБОТКИ ДАННЫХ Выхованец В.С. Вестник Приднестровского университета. Серия: Физико-математические и технические науки. Экономика и управление. 2000. № 1-2 (12). С. 99-110. ;2000    ;;2000    ;0;;Институт проблем управления МГТУ им. Баумана
56;КОМПИЛЯЦИЯ ЗНАНИЙ, ПРЕДСТАВЛЕННЫХ НА ЯЗЫКЕ ESSE Выхованец В.С., Иосенкин В.Я. В сборнике: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 165-172.;1;Выхованец;В;С;Выхованец В. С.;КОМПИЛЯЦИЯ ЗНАНИЙ, ПРЕДСТАВЛЕННЫХ НА ЯЗЫКЕ ESSE Выхованец В.С., Иосенкин В.Я. В сборнике: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 165-172. ;2003    ;;2003    ;0;;Институт проблем управления МГТУ им. Баумана
57;МУЛЬТИПЛИКАТИВНЫЕ ФОРМЫ И ИХ ПРИМЕНЕНИЕ ПРИ ЛОГИЧЕСКИХ ВЫЧИСЛЕНИЯХ Выхованец В.С., Малюгин В.Д. В книге: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 110-111.;1;Выхованец;В;С;Выхованец В. С.;МУЛЬТИПЛИКАТИВНЫЕ ФОРМЫ И ИХ ПРИМЕНЕНИЕ ПРИ ЛОГИЧЕСКИХ ВЫЧИСЛЕНИЯХ Выхованец В.С., Малюгин В.Д. В книге: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 110-111. ;2003    ;;2003    ;0;;Институт проблем управления МГТУ им. Баумана
58;АППАРАТНАЯ И ПРОГРАММНАЯ РЕАЛИЗАЦИЯ МУЛЬТИПЛИКАТИВНЫХ ФОРМ Выхованец В.С., Малюгин В.Д. В книге: Теория и практика логического управления Международная конференция, посвященная 100-летию со дня рождения чл.-кор. АН СССР Михаила Александровича Гаврилова: Тезисы докладов. Под общей редакцией А. А. Амбарцумяна. 2003. С. 79-81.;0;Выхованец;В;С;Выхованец В. С.;АППАРАТНАЯ И ПРОГРАММНАЯ РЕАЛИЗАЦИЯ МУЛЬТИПЛИКАТИВНЫХ ФОРМ Выхованец В.С., Малюгин В.Д. В книге: Теория и практика логического управления Международная конференция, посвященная 100-летию со дня рождения чл.-кор. АН СССР Михаила Александровича Гаврилова: Тезисы докладов. Под общей редакцией А. А. Амбарцумяна. 2003. С. 79-81. ;2003    ;;2003    ;0;;Институт проблем управления МГТУ им. Баумана
59;АЛГЕБРАИЧЕСКАЯ ДЕКОМПОЗИЦИЯ ДИСКРЕТНЫХ ФУНКЦИЙ В АДДИТИВНОЙ АЛГЕБРЕ Выхованец В.С. В книге: Теория и практика логического управления Международная конференция, посвященная 100-летию со дня рождения чл.-кор. АН СССР Михаила Александровича Гаврилова: Тезисы докладов. Под общей редакцией А. А. Амбарцумяна. 2003. С. 81-84.;0;Выхованец;В;С;Выхованец В. С.;АЛГЕБРАИЧЕСКАЯ ДЕКОМПОЗИЦИЯ ДИСКРЕТНЫХ ФУНКЦИЙ В АДДИТИВНОЙ АЛГЕБРЕ Выхованец В.С. В книге: Теория и практика логического управления Международная конференция, посвященная 100-летию со дня рождения чл.-кор. АН СССР Михаила Александровича Гаврилова: Тезисы докладов. Под общей редакцией А. А. Амбарцумяна. 2003. С. 81-84. ;2003    ;;2003    ;0;;Институт проблем управления МГТУ им. Баумана
60;ВЫСОКОУРОВНЕВАЯ ФОРМА СИНТЕЗА СИСТЕМ УПРАВЛЕНИЯ Выхованец В.С. В книге: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 109.;0;Выхованец;В;С;Выхованец В. С.;ВЫСОКОУРОВНЕВАЯ ФОРМА СИНТЕЗА СИСТЕМ УПРАВЛЕНИЯ Выхованец В.С. В книге: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 109. ;2003    ;;2003    ;0;;Институт проблем управления МГТУ им. Баумана
61;ФАКТОРИЗАЦИЯ ПОЛИНОМИАЛЬНЫХ ФОРМ Выхованец В.С. В книге: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 108.;0;Выхованец;В;С;Выхованец В. С.;ФАКТОРИЗАЦИЯ ПОЛИНОМИАЛЬНЫХ ФОРМ Выхованец В.С. В книге: Вторая международная конференция по проблемам управления Избранные труды: в 2 томах. 2003. С. 108. ;2003    ;;2003    ;0;;Институт проблем управления МГТУ им. Баумана
62;АСИМПТОТИЧЕСКИЕ ОЦЕНКИ ПРИ ИДЕНТИФИКАЦИИ ДИСКРЕТНЫХ ОБЪЕКТОВ Выхованец В.С. В сборнике: Идентификация систем и задачи управления SICPRO 2000 2000. С. 181-195.;0;Выхованец;В;С;Выхованец В. С.;АСИМПТОТИЧЕСКИЕ ОЦЕНКИ ПРИ ИДЕНТИФИКАЦИИ ДИСКРЕТНЫХ ОБЪЕКТОВ Выхованец В.С. В сборнике: Идентификация систем и задачи управления SICPRO 2000 2000. С. 181-195. ;2000    ;;2000    ;0;;Институт проблем управления МГТУ им. Баумана
63;СОВМЕЩЕННЫЕ СЕТИ УПРАВЛЕНИЯ И ДАННЫХ Выхованец В.С., Крыжановская А.В. Управление большими системами: сборник трудов. 2015. № 58. С. 41-66.;0;Выхованец;В;С;Выхованец В. С.;СОВМЕЩЕННЫЕ СЕТИ УПРАВЛЕНИЯ И ДАННЫХ Выхованец В.С., Крыжановская А.В. Управление большими системами: сборник трудов. 2015. № 58. С. 41-66. ;2015    ;;2015    ;0;;Институт проблем управления МГТУ им. Баумана
64;КОРПУСНОЙ ПОДХОД И ПАРАДИГМЫ ПОЗНАНИЯ Выхованец В.С. В книге: МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ В ОБРАЗОВАНИИ, НАУКЕ И ПРОИЗВОДСТВЕ(MATMOD2011). 2011. С. 12.;0;Выхованец;В;С;Выхованец В. С.;КОРПУСНОЙ ПОДХОД И ПАРАДИГМЫ ПОЗНАНИЯ Выхованец В.С. В книге: МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ В ОБРАЗОВАНИИ, НАУКЕ И ПРОИЗВОДСТВЕ(MATMOD2011). 2011. С. 12. ;2011    ;;2011    ;2;;Институт проблем управления МГТУ им. Баумана
65;АНАЛИТИЧЕСКИЙ СИНТЕЗ ДИСКРЕТНЫХ УСТРОЙСТВ Выхованец В.С. В сборнике: Автоматизация проектирования дискретных систем Материалы Седьмой Международной конференции. 2010. С. 10-17.;0;Выхованец;В;С;Выхованец В. С.;АНАЛИТИЧЕСКИЙ СИНТЕЗ ДИСКРЕТНЫХ УСТРОЙСТВ Выхованец В.С. В сборнике: Автоматизация проектирования дискретных систем Материалы Седьмой Международной конференции. 2010. С. 10-17. ;2010    ;;2010    ;0;;Институт проблем управления МГТУ им. Баумана
66;О СУЩЕСТВЕННОЙ НЕПОЛНОТЕ ФОРМАЛЬНОГО МЕТОДА Выхованец В.С. В сборнике: Философия, математика, лингвистика: аспекты взаимодействия Материалы Международной научной конференции. 2009. С. 79-87.;2;Выхованец;В;С;Выхованец В. С.;О СУЩЕСТВЕННОЙ НЕПОЛНОТЕ ФОРМАЛЬНОГО МЕТОДА Выхованец В.С. В сборнике: Философия, математика, лингвистика: аспекты взаимодействия Материалы Международной научной конференции. 2009. С. 79-87. ;2009    ;;2009    ;0;;Институт проблем управления МГТУ им. Баумана
67;АВТОМАТИЗИРОВАННАЯ СИСТЕМА ПРОВЕРКИ И ОЦЕНКИ РЕЗУЛЬТАТОВ ВСТУПИТЕЛЬНЫХ ИСПЫТАНИЙ Выхованец В.С., Афанасьев К.В. В книге: Развитие системы тестирования в России Тезисы докладов Второй Всероссийской конференции. 2000. С. 88-90.;0;Выхованец;В;С;Выхованец В. С.;АВТОМАТИЗИРОВАННАЯ СИСТЕМА ПРОВЕРКИ И ОЦЕНКИ РЕЗУЛЬТАТОВ ВСТУПИТЕЛЬНЫХ ИСПЫТАНИЙ Выхованец В.С., Афанасьев К.В. В книге: Развитие системы тестирования в России Тезисы докладов Второй Всероссийской конференции. 2000. С. 88-90. ;2000    ;;2000    ;0;;Институт проблем управления МГТУ им. Баумана
68;АНАЛИТИЧЕСКАЯ ИДЕНТИФИКАЦИЯ ДИСКРЕТНЫХ СИСТЕМ Выхованец В.С. В сборнике: Системный анализ и информационные технологии Материалы Международной научно-технической конференции SAIT 2011. 2011. С. 70.;0;Выхованец;В;С;Выхованец В. С.;АНАЛИТИЧЕСКАЯ ИДЕНТИФИКАЦИЯ ДИСКРЕТНЫХ СИСТЕМ Выхованец В.С. В сборнике: Системный анализ и информационные технологии Материалы Международной научно-технической конференции SAIT 2011. 2011. С. 70. ;2011    ;;2011    ;0;;Институт проблем управления МГТУ им. Баумана
69;СПЕКТРАЛЬНЫЕ МЕТОДЫ В ЛОГИЧЕСКОЙ ОБРАБОТКЕ ДАННЫХ Выхованец В.С. Автоматика и телемеханика. 2001. № 10. С. 28-53.;11;Выхованец;В;С;Выхованец В. С.;СПЕКТРАЛЬНЫЕ МЕТОДЫ В ЛОГИЧЕСКОЙ ОБРАБОТКЕ ДАННЫХ Выхованец В.С. Автоматика и телемеханика. 2001. № 10. С. 28-53. ;2001    ;;2001    ;0;;Институт проблем управления МГТУ им. Баумана
70;ПОНЯТИЙНЫЙ АНАЛИЗ КРУПНОМАСШТАБНЫХ СИСТЕМ Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ MLSD'2009 Материалы третьей международной конференции (секции 1-3). Учреждение Российской академии наук Институт проблем управления им. В.А. Трапезникова РАН. Общая редакция С.Н. Васильев, А.Д. Цвиркун. 2009. С. 93-96.;1;Выхованец;В;С;Выхованец В. С.;ПОНЯТИЙНЫЙ АНАЛИЗ КРУПНОМАСШТАБНЫХ СИСТЕМ Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ MLSD'2009 Материалы третьей международной конференции (секции 1-3). Учреждение Российской академии наук Институт проблем управления им. В.А. Трапезникова РАН. Общая редакция С.Н. Васильев, А.Д. Цвиркун. 2009. С. 93-96. ;2009    ;;2009    ;0;;Институт проблем управления МГТУ им. Баумана
71;МНОГОАСПЕКТНОЕ МОДЕЛИРОВАНИЕ КРУПНОМАСШТАБНЫХ ПРОИЗВОДСТВ Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ MLSD'2010 Материалы четвертой международной конференции. Общая редакция С.Н. Васильев, А.Д. Цвиркун. 2010. С. 153-156.;0;Выхованец;В;С;Выхованец В. С.;МНОГОАСПЕКТНОЕ МОДЕЛИРОВАНИЕ КРУПНОМАСШТАБНЫХ ПРОИЗВОДСТВ Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ MLSD'2010 Материалы четвертой международной конференции. Общая редакция С.Н. Васильев, А.Д. Цвиркун. 2010. С. 153-156. ;2010    ;;2010    ;0;;Институт проблем управления МГТУ им. Баумана
72;"МОДЕЛИРОВАНИЕ ПРОЦЕССОВ СОВМЕЩЕННЫМИ СЕТЯМИ УПРАВЛЕНИЯ И ДАННЫХ Выхованец В.С., Яцутко А.В. В сборнике: Управление развитием крупномасштабных систем Материалы Восьмой международной конференции : В 2 томах. Институт проблем управления им. В.А.Трапезникова; Под общей редакцией С.Н. Васильева, А.Д. Цвиркуна. 2015. С. 165-175.";0;Выхованец;В;С;Выхованец В. С.;"МОДЕЛИРОВАНИЕ ПРОЦЕССОВ СОВМЕЩЕННЫМИ СЕТЯМИ УПРАВЛЕНИЯ И ДАННЫХ Выхованец В.С., Яцутко А.В. В сборнике: Управление развитием крупномасштабных систем Материалы Восьмой международной конференции : В 2 томах. Институт проблем управления им. В.А.Трапезникова; Под общей редакцией С.Н. Васильева, А.Д. Цвиркуна. 2015. С. 165-175. ";2015    ;;2015    ;0;;Институт проблем управления МГТУ им. Баумана
73;МУЛЬТИПРОБЛЕМНЫЙ АНАЛИЗ И МНОГОАСПЕКТНОЕ МОДЕЛИРОВАНИЕ СОЦИАЛЬНЫХ СИСТЕМ Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ (MLSD'2011) материалы пятой международной конференции. Общая редакция: С.Н.Васильев, А.Д.Цвирку. 2011. С. 208-210.;0;Выхованец;В;С;Выхованец В. С.;МУЛЬТИПРОБЛЕМНЫЙ АНАЛИЗ И МНОГОАСПЕКТНОЕ МОДЕЛИРОВАНИЕ СОЦИАЛЬНЫХ СИСТЕМ Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ (MLSD'2011) материалы пятой международной конференции. Общая редакция: С.Н.Васильев, А.Д.Цвирку. 2011. С. 208-210. ;2011    ;;2011    ;0;;Институт проблем управления МГТУ им. Баумана
74;ОБОБЩЁННЫЕ ПОЛИНОМИАЛЬНЫЕ ФОРМЫ Выхованец В.С. Радіоелектроніка, інформатика, управління. 1999. № 2. С. 55-59.;0;Выхованец;В;С;Выхованец В. С.;ОБОБЩЁННЫЕ ПОЛИНОМИАЛЬНЫЕ ФОРМЫ Выхованец В.С. Радіоелектроніка, інформатика, управління. 1999. № 2. С. 55-59. ;1999    ;;1999    ;0;;Институт проблем управления МГТУ им. Баумана
75;ПРИМЕНЕНИЕ ИНТЕРВАЛЬНОЙ ДИНАМИЧЕСКОЙ ЛОГИКИ ДЛЯ МОНИТОРИНГА КРУПНОМАСШТАБНЫХ ПРОЦЕССОВ Вергер А.Е., Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ MLSD'2012 материалы шестой международной конференции. 2012. С. 358-364.;0;Выхованец;В;С;Выхованец В. С.;ПРИМЕНЕНИЕ ИНТЕРВАЛЬНОЙ ДИНАМИЧЕСКОЙ ЛОГИКИ ДЛЯ МОНИТОРИНГА КРУПНОМАСШТАБНЫХ ПРОЦЕССОВ Вергер А.Е., Выхованец В.С. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ MLSD'2012 материалы шестой международной конференции. 2012. С. 358-364. ;2012    ;;2012    ;0;;Институт проблем управления МГТУ им. Баумана
76;USING SYNTACTIC TEXT ANALYSIS TO ESTIMATE EDUCATIONAL TASKS' DIFFICULTY AND COMPLEXITY Naumov I.S., Vykhovanets V.S. Automation and Remote Control. 2016. Т. 77. № 1. С. 159-178.;0;Выхованец;В;С;Выхованец В. С.;USING SYNTACTIC TEXT ANALYSIS TO ESTIMATE EDUCATIONAL TASKS' DIFFICULTY AND COMPLEXITY Naumov I.S., Vykhovanets V.S. Automation and Remote Control. 2016. Т. 77. № 1. С. 159-178. ;2016    ;;2016    ;2;;Институт проблем управления МГТУ им. Баумана
77;ЯЗЫК IMAGESCRIPT ДЛЯ КРОССПЛАТФОРМЕННОГО АНАЛИЗА, ОБРАБОТКИ И РАСПОЗНАВАНИЯ СИГНАЛОВ И ИЗОБРАЖЕНИЙ Выхованец В.С., Фозилов М.М. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ (MLSD'2016) Материалы Девятой международной конференции: в 2-х томах. Под общей редакцией С.Н. Васильева, А.Д. Цвиркуна. 2016. С. 249-254.;0;Выхованец;В;С;Выхованец В. С.;ЯЗЫК IMAGESCRIPT ДЛЯ КРОССПЛАТФОРМЕННОГО АНАЛИЗА, ОБРАБОТКИ И РАСПОЗНАВАНИЯ СИГНАЛОВ И ИЗОБРАЖЕНИЙ Выхованец В.С., Фозилов М.М. В книге: УПРАВЛЕНИЕ РАЗВИТИЕМ КРУПНОМАСШТАБНЫХ СИСТЕМ (MLSD'2016) Материалы Девятой международной конференции: в 2-х томах. Под общей редакцией С.Н. Васильева, А.Д. Цвиркуна. 2016. С. 249-254. ;2016    ;;2016    ;2;;Институт проблем управления МГТУ им. Баумана
